"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"서울특별시 강남구 개포동","655-2","0655","0002","개포2차현대아파트(220)","77.75","201612","21~31","80,000","5","1988","언주로"
"서울특별시 강남구 개포동","655-2","0655","0002","개포2차현대아파트(220)","77.75","201703","11~20","80,000","7","1988","언주로"
"서울특별시 강남구 개포동","655-2","0655","0002","개포2차현대아파트(220)","77.75","201704","11~20","85,000","2","1988","언주로"
"서울특별시 강남구 개포동","655-2","0655","0002","개포2차현대아파트(220)","77.75","201707","1~10","89,900","1","1988","언주로"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","201612","21~31","89,000","5","1987","언주로"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","201704","11~20","97,500","4","1987","언주로"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","201704","11~20","98,000","1","1987","언주로"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","201705","11~20","98,000","1","1987","언주로"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","54.98","201705","21~31","79,000","1","1987","언주로"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","54.98","201705","21~31","82,000","3","1987","언주로"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","54.98","201705","21~31","78,000","4","1987","언주로"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","54.98","201706","1~10","85,000","4","1987","언주로"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","201707","21~31","117,500","3","1987","언주로"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","54.98","201707","21~31","90,000","1","1987","언주로"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","201710","11~20","117,000","2","1987","언주로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","133.46","201612","21~31","130,000","10","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","161","201702","11~20","150,000","12","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","201702","11~20","108,000","11","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","133.46","201703","1~10","130,000","11","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","201704","11~20","110,000","9","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","201705","1~10","109,500","7","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","201705","1~10","111,000","12","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","201705","11~20","110,000","3","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","201705","21~31","115,100","2","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","133.46","201705","21~31","150,000","6","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","161","201707","1~10","172,000","8","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","201707","11~20","120,000","8","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","201707","11~20","120,000","8","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","201707","11~20","120,000","4","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","161","201707","11~20","181,000","6","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","161","201707","11~20","185,000","7","1984","개포로"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","133.46","201710","11~20","152,000","1","1984","개포로"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이(12-2)","134.3","201612","1~10","130,000","12","2004","개포로109길"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이(12-2)","134.3","201612","11~20","132,000","19","2004","개포로109길"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이(12-2)","170.32","201702","1~10","144,000","18","2004","개포로109길"
